year,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
jan,-26.89,-28.38,-26.42,-31.43,-25.44,-26.51,-26.2,-25.27,-24.86,-24.63,-23.6,-24.2,-23.58,-24.91,-25.26,-26.7,-28.79,-25.65,-28.38,-26.98,-24.64,-24.55,-24.23,-27.63,-23.89,-24.31,-22.78,-26.92,-24.46,-19.19,-25.21,-24.72,-22.69,-23.8,-25.54,-25.6,-22.99,-22.66,-25.72,-24.89,-24.74,-28.04,-21.64,-23.41,-25.17,-25.5,-23.83,-23.33,-24.85,-27.61,-22.63,-24.37,-23.38,-22.92,-22.3,-22.74,-22.36,-19.69,-19.86,-23.19,-24.88,-20.98,-23.85,-21.43,-21.32,-21.25,-21.42,-22.5,-16.58,-20.01,-19.64,-23.29,-23.58,-20.52
feb,-27.01,-24.17,-27.62,-28.89,-24.36,-25.98,-26.37,-27.11,-23.66,-23.5,-25.15,-25.89,-25.47,-27.37,-25.16,-26.7,-25.79,-25.03,-25.69,-28.39,-25.91,-25.38,-24.14,-22.76,-26.63,-25.92,-25.44,-24.35,-23.21,-26.39,-25.64,-29.81,-23.16,-23.63,-24.21,-25.15,-23.73,-24.2,-23.86,-26.77,-23.29,-23.22,-23.4,-25.07,-24.18,-23.24,-23.75,-21.55,-24.28,-25.65,-26.29,-23.68,-21.76,-21.92,-24.98,-25.17,-23.42,-20.16,-21.68,-21.24,-22.86,-22.72,-20.52,-22.15,-21.1,-25.4,-19.95,-22.42,-16.97,-19.75,-16.7,-22.21,-22.51,-20.26
mar,-23.69,-20.53,-21.2,-20.89,-24.11,-26.26,-24.93,-21.84,-24.25,-21.7,-21.95,-22.82,-23.83,-24.12,-19.88,-26.48,-26.21,-23.58,-24.77,-22,-22.34,-25.6,-22.03,-21.93,-21.86,-22.86,-21.9,-22.88,-20.18,-24.78,-23.28,-22.31,-21.1,-20.96,-22.68,-20.16,-23.39,-23.83,-24.58,-24.06,-23.37,-22.43,-20.97,-22.06,-19.96,-24.37,-23.48,-22.06,-21.55,-18.99,-20.95,-20.13,-19.05,-21.66,-18.55,-20.84,-21.26,-20.33,-18.95,-21.09,-21.15,-21.25,-18.55,-18.32,-20.69,-18.78,-18.04,-19.06,-16.7,-18.05,-19.8,-18.87,-21.24,-20.91
apr,-16.36,-16.54,-14.53,-14.41,-15.61,-13.38,-14.03,-15.95,-15.21,-13.77,-17.33,-14.29,-16.49,-15.8,-16.06,-16.93,-18.27,-15.84,-16.6,-15.06,-14.79,-17.67,-18.04,-15.51,-17.39,-14.26,-15.6,-15.34,-15.11,-16.79,-16.21,-17.35,-15.77,-14.65,-16.78,-16.91,-16.25,-16.92,-17.25,-15.43,-16.48,-15.24,-13.05,-17.04,-14.91,-14.47,-14.71,-10.87,-13.19,-15.22,-13.65,-14.36,-13.96,-16.04,-15.55,-13.05,-11.86,-13.93,-11.15,-11.22,-13.05,-14.73,-10.84,-13.06,-12.37,-12.03,-12.62,-11.82,-11.86,-11.52,-12.26,-10.81,-11.01,-11.67
may,-3.43,-5.33,-3.76,-3.64,-3.33,-2.94,-4.3,-6.63,-6.06,-4.17,-6.41,-5.39,-4.58,-7.03,-7.41,-6.22,-7.78,-6.37,-6.4,-5.04,-6.02,-6.88,-6.08,-5.32,-7.29,-5.94,-6.2,-6.4,-7.28,-5.46,-5.99,-6.43,-5.02,-5.37,-6.72,-5.82,-5.6,-6.28,-5.53,-6.19,-4.54,-4.93,-2.68,-3.84,-5.87,-4.8,-5.22,-4.05,-4.67,-5.55,-5.71,-5.34,-5.92,-6.63,-4.05,-3.78,-3.68,-3.01,-2.5,-4.83,-3.72,-3.28,-2.39,-3.91,-3.57,-4.41,-4.33,-5.41,-2.93,-4.38,-3.03,-1.61,-2.31,-2.57
jun,3.23,2.37,3.15,2.81,3.11,3.84,3.24,3.05,2.65,2.98,2.34,2.75,3.28,2.61,2.23,1.96,2.3,2.26,2.41,2.06,2.48,1.85,2.21,2.6,1.71,2.87,1.86,2.04,2,2.55,1.45,1.87,2.71,2.79,1.84,2.3,2.8,2.82,2.39,2.22,2.67,2.75,3.41,2.91,2.19,3.03,3.07,2.91,1.96,2.41,2.82,2.31,2.64,2.18,3.06,2.57,2.74,3.8,3.05,3.41,2.9,2.55,3.6,3.74,4.01,3.13,2.48,3.64,3.58,3.03,3.47,4.49,3.9,3.43
jul,4.92,5.1,5.1,5.03,5.3,5.35,5.41,5.06,5.15,5.54,5.18,4.94,5.47,5.09,4.85,4.49,4.72,4.75,4.82,4.77,4.53,4.77,4.9,5.14,4.68,4.94,5.25,4.81,4.5,5.24,4.56,5.24,4.85,4.81,4.96,5.12,5.36,5.07,4.59,5.05,5.5,4.99,5.36,5.73,4.83,5.43,5.47,5.41,4.84,4.97,5.8,5.19,5.02,5.23,5.64,5.89,6.07,5.8,5.88,5.89,5.84,5.74,5.92,6.39,6.34,5.99,5.51,6.14,6.1,5.72,5.73,6.63,6.67,5.36
aug,3.11,3.42,3.35,3.22,3.17,3.68,4.33,3.53,2.86,3.59,3.63,3.42,3.46,2.95,2.9,2.8,3.34,3.09,3.67,2.94,3.18,3.02,2.7,3.34,3.01,3.43,3.62,2.96,3.31,3.37,2.88,3.39,3.01,3.73,3.23,3.58,2.95,3.13,2.82,3.13,3.31,3.78,4.05,4.02,2.7,3.28,3.45,3.88,2.75,2.74,4.02,3.71,3.33,4.08,4.48,4.3,4.2,4.28,3.76,4.63,4.31,4.13,4.38,4.84,4.62,3.95,4.21,4.03,4.24,4.38,4.98,5.14,5.37,4.72
sep,-3.21,-2.59,-4.26,-2.39,-2.67,-3.9,-2.97,-3.33,-3.94,-4.25,-3.97,-3.44,-3.35,-4.1,-5.43,-5.28,-4.73,-4.02,-3.59,-2.75,-4.32,-3.96,-3.75,-3.03,-3.45,-4.54,-3.19,-4.65,-2.75,-4.21,-3.93,-3.61,-4.53,-3.52,-3.83,-4.18,-2.96,-3.73,-4.51,-6.22,-3.81,-2.84,-2.93,-1.83,-4.06,-2.96,-4.32,-1.87,-4.06,-2.04,-2.05,-2.55,-3.26,-1.62,-1.75,-0.82,-2.25,-1.71,-0.65,-0.62,-0.76,-0.58,-1.15,-1.49,0.05,-1.06,-1.39,-1.14,-0.03,-0.4,-0.36,0.1,-0.28,-0.87
oct,-10.5,-12.2,-13.46,-13.78,-13.56,-13.54,-11.14,-11.93,-14.59,-11.66,-14.01,-12.63,-13.31,-12.76,-13.96,-14.9,-14.2,-15.12,-15.4,-12.74,-13.12,-12.16,-13.43,-13.74,-12.34,-13.84,-12.66,-14.37,-14.33,-13.06,-13.93,-13.69,-11.63,-10.45,-13,-13.91,-11.32,-13.81,-13.21,-13.71,-13.58,-13.18,-14.21,-12.58,-13.32,-12.31,-10.92,-10.39,-12.97,-10.02,-11.72,-11.8,-10.52,-10.43,-8.58,-8.25,-10.61,-9.27,-8.11,-6.78,-10.01,-7.69,-8.3,-9.06,-8.45,-9.76,-8.16,-7.47,-6.16,-7.88,-7.2,-8.32,-7.06,-6.28
nov,-19.54,-18.35,-21.07,-22.59,-20.29,-18.54,-19.75,-22.29,-18.96,-20.07,-21.04,-17.38,-20.84,-20.91,-18.93,-21.02,-20.75,-17.08,-19.83,-20.49,-22.04,-19.71,-19.85,-20.82,-19.7,-18.98,-21.91,-21.37,-21.9,-19.97,-20.15,-20.27,-21.18,-18.17,-19.38,-19.75,-18.87,-18.31,-18.88,-21.45,-20.38,-21.69,-21.67,-19.73,-19.73,-19.52,-20.77,-17.95,-14.83,-17.77,-16.35,-17.49,-17.66,-17.27,-16.96,-16.74,-18.74,-15.67,-15.73,-15.32,-16.59,-16.96,-16.5,-17.28,-15.31,-18.17,-17.08,-14.97,-11.51,-13.81,-16.55,-15.9,-13.73,-13.78
dec,-28.13,-21.34,-25.44,-25.33,-23.64,-25.06,-23.87,-24.94,-20.38,-26.81,-22.61,-24.94,-22.96,-25.69,-24.36,-23.27,-24.38,-25.68,-21.92,-22.56,-25.95,-21.06,-24.25,-24.43,-23.62,-24.26,-26.07,-24.06,-23.61,-24.28,-23.47,-24.24,-23.91,-22.19,-22.81,-22.4,-22.02,-19.66,-22.91,-23.77,-23.28,-22.06,-24.66,-23.02,-22.91,-24.53,-23.87,-24.61,-22.44,-23.32,-22.24,-21.24,-20.94,-18.82,-19.59,-21.29,-21.76,-19.16,-21.84,-19.35,-20.28,-19.07,-20.08,-20.22,-21.37,-19.66,-20.25,-19.82,-17.84,-17.57,-20.54,-19.68,-18.78,-17.73
