,Latitude of southern tile corner,Longitude of western tile corner,Tile size in latitude,Tile size in longitude,Mean elevation change rate for 2000-2019 (m yr-1),Uncertainty (1-sigma) in the mean elevation change rate for 2000-2019 (m yr-1),Glacier area (km²)
671,61,4,1,2,-0.593,0.005,375.982
672,61,6,1,2,-0.704,0.004,709.514
673,61,140,1,2,-0.926,0.047,1.319
674,61,142,1,2,-1.156,0.082,1.15
675,61,158,1,2,-0.84,0.164,0.182
676,61,160,1,2,-0.706,0.048,1.782
677,61,166,1,2,0.166,0.096,0.319
678,61,168,1,2,-0.892,0.038,5.106
679,61,170,1,2,-1.156,0.024,47.369
680,61,172,1,2,-0.507,0.171,0.146
681,61,-44,1,2,-0.341,0.004,216.904
682,61,-46,1,2,-0.319,0.004,628.141
683,61,-48,1,2,-0.509,0.013,51.82
684,61,-50,1,2,-0.629,0.016,51.219
685,61,-130,1,2,-0.551,0.005,134.256
686,61,-132,1,2,-0.238,0.01,14.275
687,61,-134,1,2,0.124,0.048,0.398
688,61,-140,1,2,-0.428,0.02,11.349
689,61,-142,1,2,-0.26,0.003,1935.455
690,61,-144,1,2,-0.511,0.003,3790.445
691,61,-146,1,2,-0.504,0.003,2468.027
692,61,-148,1,2,-1.82,0.006,2405.24
693,61,-150,1,2,-0.799,0.001,3379.044
694,61,-152,1,2,-0.773,0.016,36.633
695,61,-154,1,2,-0.725,0.004,1924.74
696,61,-156,1,2,-0.871,0.005,766.127
697,62,4,1,2,-0.754,0.031,12.753
698,62,6,1,2,-0.829,0.012,85.116
699,62,8,1,2,-0.738,0.026,7.167
700,62,10,1,2,-0.441,0.044,0.635
701,62,138,1,2,-0.964,0.018,56.728
702,62,140,1,2,-0.959,0.017,72.925
703,62,168,1,2,-0.238,0.022,2.297
704,62,170,1,2,-0.527,0.051,1.143
705,62,172,1,2,-3.185,2.674,0.03
706,62,174,1,2,-1.064,0.086,11.271
707,62,176,1,2,0.195,0.401,0.032
708,62,-44,1,2,-0.785,0.003,754.927
709,62,-46,1,2,-0.455,0.009,48.031
710,62,-50,1,2,-0.055,0.023,0.433
711,62,-52,1,2,-0.409,0.01,22.866
712,62,-68,1,2,-0.894,0.008,325.155
713,62,-128,1,2,-0.095,0.008,9.172
714,62,-130,1,2,-0.719,0.004,298.184
715,62,-132,1,2,-0.826,0.016,20.848
716,62,-144,1,2,-0.528,0.007,276.725
717,62,-146,1,2,-0.174,0.003,1131.904
718,62,-150,1,2,-0.904,0.008,296.097
719,62,-152,1,2,-0.895,0.004,699.974
720,62,-154,1,2,-1.032,0.003,1871.587
721,62,-156,1,2,-0.945,0.009,27.538
722,63,10,1,2,-0.736,0.07,0.251
723,63,58,1,2,-0.3,0.034,0.861
724,63,-18,1,2,-0.43,0.012,81.713
725,63,-20,1,2,-1.594,0.007,329.727
726,63,-22,1,2,-1.207,0.006,376.351
727,63,-42,1,2,-0.46,0.007,92.124
728,63,-44,1,2,-0.409,0.002,930.295
729,63,-46,1,2,0.107,0.037,0.467
730,63,-52,1,2,-0.816,0.005,688.377
731,63,-54,1,2,-0.945,0.029,34.317
732,63,-66,1,2,-0.734,0.01,33.989
733,63,-68,1,2,-0.703,0.007,191.392
734,63,-132,1,2,-0.768,0.011,88.639
735,63,-134,1,2,-0.532,0.017,18.386
736,63,-146,1,2,-0.901,0.011,321.794
737,63,-148,1,2,-0.755,0.002,1691.149
738,63,-150,1,2,-1.008,0.005,638.885
739,63,-152,1,2,-0.657,0.002,990.095
740,63,-154,1,2,-0.337,0.007,263.036
741,64,58,1,2,0.011,0.007,5.595
742,64,144,1,2,-0.668,0.109,0.17
743,64,-16,1,2,-0.785,0.014,23.7
744,64,-18,1,2,-0.907,0.002,3806.451
745,64,-20,1,2,-1.008,0.001,4972.654
746,64,-22,1,2,-1.182,0.002,1161.519
