,Region,Time period,Glacier category - tw=tidewater (marine-terminating); ntw=non-tidewater (land-terminating); all=all glaciers,Mean elevation change rate (m yr-1),Mass change rate (Gt yr-1),Regional area observed at least once a year (%) (relevant only for yearly rates),Glacier area of RGI 6.0 (m²),Estimated time-varying RGI glacier area (m²),Longitude of region centroid,Latitude of region centroid,start_year,end_year,year,elevation_change_rate,mass_change_rate
3,Alaska,2000-01-01_2001-01-01,all,-0.57,-43.86,0.22,86724896000,89990805883,-152.75,60.22,1/1/2000,1/1/2001,2001,-0.57,-43.86
4,Alaska,2001-01-01_2002-01-01,all,-0.56,-42.64,0.55,86724896000,89567071439,-152.75,60.22,1/1/2001,1/1/2002,2002,-0.56,-42.64
5,Alaska,2002-01-01_2003-01-01,all,-0.66,-49.79,0.49,86724896000,89143336996,-152.75,60.22,1/1/2002,1/1/2003,2003,-0.66,-49.79
6,Alaska,2003-01-01_2004-01-01,all,-0.72,-54.65,0.64,86724896000,88719559725,-152.75,60.22,1/1/2003,1/1/2004,2004,-0.72,-54.65
7,Alaska,2004-01-01_2005-01-01,all,-0.75,-56.47,0.6,86724896000,88295825281,-152.75,60.22,1/1/2004,1/1/2005,2005,-0.75,-56.47
8,Alaska,2005-01-01_2006-01-01,all,-0.76,-57.13,0.47,86724896000,87872133665,-152.75,60.22,1/1/2005,1/1/2006,2006,-0.76,-57.13
9,Alaska,2006-01-01_2007-01-01,all,-0.74,-54.87,0.75,86724896000,87448356394,-152.75,60.22,1/1/2006,1/1/2007,2007,-0.74,-54.87
10,Alaska,2007-01-01_2008-01-01,all,-0.77,-56.7,0.38,86724896000,87024621950,-152.75,60.22,1/1/2007,1/1/2008,2008,-0.77,-56.7
11,Alaska,2008-01-01_2009-01-01,all,-0.84,-61.53,0.24,86724896000,86600930334,-152.75,60.22,1/1/2008,1/1/2009,2009,-0.84,-61.53
12,Alaska,2009-01-01_2010-01-01,all,-0.91,-66.73,0.47,86724896000,86177153063,-152.75,60.22,1/1/2009,1/1/2010,2010,-0.91,-66.73
13,Alaska,2010-01-01_2011-01-01,all,-0.93,-67.72,0.49,86724896000,85753375792,-152.75,60.22,1/1/2010,1/1/2011,2011,-0.93,-67.72
14,Alaska,2011-01-01_2012-01-01,all,-0.93,-67.58,0.46,86724896000,85329641349,-152.75,60.22,1/1/2011,1/1/2012,2012,-0.93,-67.58
15,Alaska,2012-01-01_2013-01-01,all,-0.92,-66.4,0.28,86724896000,84905906905,-152.75,60.22,1/1/2012,1/1/2013,2013,-0.92,-66.4
16,Alaska,2013-01-01_2014-01-01,all,-1.02,-73.05,0.4,86724896000,84482172462,-152.75,60.22,1/1/2013,1/1/2014,2014,-1.02,-73.05
17,Alaska,2014-01-01_2015-01-01,all,-1.09,-77.76,0.71,86724896000,84058395191,-152.75,60.22,1/1/2014,1/1/2015,2015,-1.09,-77.76
18,Alaska,2015-01-01_2016-01-01,all,-1.13,-80.47,0.83,86724896000,83634617920,-152.75,60.22,1/1/2015,1/1/2016,2016,-1.13,-80.47
19,Alaska,2016-01-01_2017-01-01,all,-1.24,-87.85,0.91,86724896000,83210926304,-152.75,60.22,1/1/2016,1/1/2017,2017,-1.24,-87.85
20,Alaska,2017-01-01_2018-01-01,all,-1.22,-86.1,0.78,86724896000,82787191860,-152.75,60.22,1/1/2017,1/1/2018,2018,-1.22,-86.1
21,Alaska,2018-01-01_2019-01-01,all,-1.3,-90.91,0.9,86724896000,82363414589,-152.75,60.22,1/1/2018,1/1/2019,2019,-1.3,-90.91
22,Alaska,2019-01-01_2020-01-01,all,-1.3,-90.84,0.93,86724896000,81939722973,-152.75,60.22,1/1/2019,1/1/2020,2020,-1.3,-90.84
48,"Arctic Canada, North",2000-01-01_2001-01-01,all,-0.31,-27.29,0.52,1.05111E+11,1.05043E+11,-96.5,79.84,1/1/2000,1/1/2001,2001,-0.31,-27.29
49,"Arctic Canada, North",2001-01-01_2002-01-01,all,-0.26,-23.31,0.9,1.05111E+11,1.04966E+11,-96.5,79.84,1/1/2001,1/1/2002,2002,-0.26,-23.31
50,"Arctic Canada, North",2002-01-01_2003-01-01,all,-0.31,-27.49,0.87,1.05111E+11,1.0489E+11,-96.5,79.84,1/1/2002,1/1/2003,2003,-0.31,-27.49
51,"Arctic Canada, North",2003-01-01_2004-01-01,all,-0.27,-23.78,0.95,1.05111E+11,1.04813E+11,-96.5,79.84,1/1/2003,1/1/2004,2004,-0.27,-23.78
52,"Arctic Canada, North",2004-01-01_2005-01-01,all,-0.21,-18.32,0.79,1.05111E+11,1.04737E+11,-96.5,79.84,1/1/2004,1/1/2005,2005,-0.21,-18.32
53,"Arctic Canada, North",2005-01-01_2006-01-01,all,-0.32,-28.74,0.71,1.05111E+11,1.0466E+11,-96.5,79.84,1/1/2005,1/1/2006,2006,-0.32,-28.74
54,"Arctic Canada, North",2006-01-01_2007-01-01,all,-0.33,-29.77,0.69,1.05111E+11,1.04584E+11,-96.5,79.84,1/1/2006,1/1/2007,2007,-0.33,-29.77
55,"Arctic Canada, North",2007-01-01_2008-01-01,all,-0.38,-33.36,0.89,1.05111E+11,1.04507E+11,-96.5,79.84,1/1/2007,1/1/2008,2008,-0.38,-33.36
56,"Arctic Canada, North",2008-01-01_2009-01-01,all,-0.43,-38.25,0.38,1.05111E+11,1.04431E+11,-96.5,79.84,1/1/2008,1/1/2009,2009,-0.43,-38.25
57,"Arctic Canada, North",2009-01-01_2010-01-01,all,-0.46,-40.65,0.85,1.05111E+11,1.04354E+11,-96.5,79.84,1/1/2009,1/1/2010,2010,-0.46,-40.65
58,"Arctic Canada, North",2010-01-01_2011-01-01,all,-0.41,-36.44,0.75,1.05111E+11,1.04278E+11,-96.5,79.84,1/1/2010,1/1/2011,2011,-0.41,-36.44
59,"Arctic Canada, North",2011-01-01_2012-01-01,all,-0.43,-37.92,0.61,1.05111E+11,1.04201E+11,-96.5,79.84,1/1/2011,1/1/2012,2012,-0.43,-37.92
60,"Arctic Canada, North",2012-01-01_2013-01-01,all,-0.38,-33.2,0.93,1.05111E+11,1.04125E+11,-96.5,79.84,1/1/2012,1/1/2013,2013,-0.38,-33.2
61,"Arctic Canada, North",2013-01-01_2014-01-01,all,-0.35,-31.16,0.96,1.05111E+11,1.04048E+11,-96.5,79.84,1/1/2013,1/1/2014,2014,-0.35,-31.16
62,"Arctic Canada, North",2014-01-01_2015-01-01,all,-0.42,-37.15,0.97,1.05111E+11,1.03972E+11,-96.5,79.84,1/1/2014,1/1/2015,2015,-0.42,-37.15
63,"Arctic Canada, North",2015-01-01_2016-01-01,all,-0.41,-35.94,0.97,1.05111E+11,1.03895E+11,-96.5,79.84,1/1/2015,1/1/2016,2016,-0.41,-35.94
64,"Arctic Canada, North",2016-01-01_2017-01-01,all,-0.31,-27.32,1,1.05111E+11,1.03819E+11,-96.5,79.84,1/1/2016,1/1/2017,2017,-0.31,-27.32
65,"Arctic Canada, North",2017-01-01_2018-01-01,all,-0.17,-14.82,0.99,1.05111E+11,1.03742E+11,-96.5,79.84,1/1/2017,1/1/2018,2018,-0.17,-14.82
66,"Arctic Canada, North",2018-01-01_2019-01-01,all,-0.31,-27.17,0.81,1.05111E+11,1.03666E+11,-96.5,79.84,1/1/2018,1/1/2019,2019,-0.31,-27.17
67,"Arctic Canada, North",2019-01-01_2020-01-01,all,-0.44,-39.15,0.73,1.05111E+11,1.03589E+11,-96.5,79.84,1/1/2019,1/1/2020,2020,-0.44,-39.15
