,year,Mean elevation change rate (m yr-1),Region
0,2001,-0.57,Alaska
1,2002,-0.56,Alaska
2,2003,-0.66,Alaska
3,2004,-0.72,Alaska
4,2005,-0.75,Alaska
5,2006,-0.76,Alaska
6,2007,-0.74,Alaska
7,2008,-0.77,Alaska
8,2009,-0.84,Alaska
9,2010,-0.91,Alaska
10,2011,-0.93,Alaska
11,2012,-0.93,Alaska
12,2013,-0.92,Alaska
13,2014,-1.02,Alaska
14,2015,-1.09,Alaska
15,2016,-1.13,Alaska
16,2017,-1.24,Alaska
17,2018,-1.22,Alaska
18,2019,-1.3,Alaska
19,2020,-1.3,Alaska
0,2001,-0.14,Western Canada and USA
1,2002,-0.13,Western Canada and USA
2,2003,-0.23,Western Canada and USA
3,2004,-0.31,Western Canada and USA
4,2005,-0.38,Western Canada and USA
5,2006,-0.49,Western Canada and USA
6,2007,-0.45,Western Canada and USA
7,2008,-0.36,Western Canada and USA
8,2009,-0.45,Western Canada and USA
9,2010,-0.6,Western Canada and USA
10,2011,-0.68,Western Canada and USA
11,2012,-0.68,Western Canada and USA
12,2013,-0.73,Western Canada and USA
13,2014,-0.85,Western Canada and USA
14,2015,-0.95,Western Canada and USA
15,2016,-1.0,Western Canada and USA
16,2017,-1.04,Western Canada and USA
17,2018,-1.05,Western Canada and USA
18,2019,-1.11,Western Canada and USA
19,2020,-1.19,Western Canada and USA
0,2001,-0.31,"Arctic Canada, North"
1,2002,-0.26,"Arctic Canada, North"
2,2003,-0.31,"Arctic Canada, North"
3,2004,-0.27,"Arctic Canada, North"
4,2005,-0.21,"Arctic Canada, North"
5,2006,-0.32,"Arctic Canada, North"
6,2007,-0.33,"Arctic Canada, North"
7,2008,-0.38,"Arctic Canada, North"
8,2009,-0.43,"Arctic Canada, North"
9,2010,-0.46,"Arctic Canada, North"
10,2011,-0.41,"Arctic Canada, North"
11,2012,-0.43,"Arctic Canada, North"
12,2013,-0.38,"Arctic Canada, North"
13,2014,-0.35,"Arctic Canada, North"
14,2015,-0.42,"Arctic Canada, North"
15,2016,-0.41,"Arctic Canada, North"
16,2017,-0.31,"Arctic Canada, North"
17,2018,-0.17,"Arctic Canada, North"
18,2019,-0.31,"Arctic Canada, North"
19,2020,-0.44,"Arctic Canada, North"
0,2001,-0.59,"Arctic Canada, South"
1,2002,-0.62,"Arctic Canada, South"
2,2003,-0.66,"Arctic Canada, South"
3,2004,-0.64,"Arctic Canada, South"
4,2005,-0.66,"Arctic Canada, South"
5,2006,-0.67,"Arctic Canada, South"
6,2007,-0.68,"Arctic Canada, South"
7,2008,-0.71,"Arctic Canada, South"
8,2009,-0.77,"Arctic Canada, South"
9,2010,-0.81,"Arctic Canada, South"
10,2011,-0.78,"Arctic Canada, South"
11,2012,-0.81,"Arctic Canada, South"
12,2013,-0.89,"Arctic Canada, South"
13,2014,-0.87,"Arctic Canada, South"
14,2015,-0.87,"Arctic Canada, South"
15,2016,-0.84,"Arctic Canada, South"
16,2017,-0.84,"Arctic Canada, South"
17,2018,-0.82,"Arctic Canada, South"
18,2019,-0.9,"Arctic Canada, South"
19,2020,-0.96,"Arctic Canada, South"
0,2001,-0.47,Greenland Periphery
1,2002,-0.49000000000000005,Greenland Periphery
2,2003,-0.5266666666666667,Greenland Periphery
3,2004,-0.5266666666666667,Greenland Periphery
4,2005,-0.49666666666666665,Greenland Periphery
5,2006,-0.5,Greenland Periphery
6,2007,-0.5266666666666667,Greenland Periphery
7,2008,-0.56,Greenland Periphery
8,2009,-0.5433333333333333,Greenland Periphery
9,2010,-0.5233333333333333,Greenland Periphery
10,2011,-0.6233333333333333,Greenland Periphery
11,2012,-0.7133333333333334,Greenland Periphery
12,2013,-0.6633333333333333,Greenland Periphery
13,2014,-0.6333333333333333,Greenland Periphery
14,2015,-0.58,Greenland Periphery
15,2016,-0.5433333333333333,Greenland Periphery
16,2017,-0.5933333333333334,Greenland Periphery
17,2018,-0.5566666666666666,Greenland Periphery
18,2019,-0.5466666666666667,Greenland Periphery
19,2020,-0.6066666666666667,Greenland Periphery
0,2001,-1.28,Iceland
1,2002,-1.16,Iceland
2,2003,-1.03,Iceland
3,2004,-1.24,Iceland
4,2005,-1.35,Iceland
5,2006,-1.13,Iceland
6,2007,-1.1,Iceland
7,2008,-1.12,Iceland
8,2009,-1.15,Iceland
9,2010,-1.36,Iceland
10,2011,-1.53,Iceland
11,2012,-0.91,Iceland
12,2013,-0.76,Iceland
13,2014,-0.91,Iceland
14,2015,-0.73,Iceland
15,2016,-0.49,Iceland
16,2017,-0.84,Iceland
17,2018,-0.87,Iceland
18,2019,-0.76,Iceland
19,2020,-0.87,Iceland
0,2001,-0.17,Svalbard and Jan Mayen
1,2002,-0.18,Svalbard and Jan Mayen
2,2003,-0.31,Svalbard and Jan Mayen
3,2004,-0.35,Svalbard and Jan Mayen
4,2005,-0.28,Svalbard and Jan Mayen
5,2006,-0.27,Svalbard and Jan Mayen
6,2007,-0.24,Svalbard and Jan Mayen
7,2008,-0.27,Svalbard and Jan Mayen
8,2009,-0.29,Svalbard and Jan Mayen
9,2010,-0.33,Svalbard and Jan Mayen
10,2011,-0.33,Svalbard and Jan Mayen
11,2012,-0.29,Svalbard and Jan Mayen
12,2013,-0.35,Svalbard and Jan Mayen
13,2014,-0.47,Svalbard and Jan Mayen
14,2015,-0.45,Svalbard and Jan Mayen
15,2016,-0.48,Svalbard and Jan Mayen
16,2017,-0.62,Svalbard and Jan Mayen
17,2018,-0.66,Svalbard and Jan Mayen
18,2019,-0.53,Svalbard and Jan Mayen
19,2020,-0.5,Svalbard and Jan Mayen
0,2001,-0.75,Scandinavia
1,2002,-0.75,Scandinavia
2,2003,-0.76,Scandinavia
3,2004,-0.84,Scandinavia
4,2005,-0.73,Scandinavia
5,2006,-0.68,Scandinavia
6,2007,-0.71,Scandinavia
7,2008,-0.64,Scandinavia
8,2009,-0.65,Scandinavia
9,2010,-0.67,Scandinavia
10,2011,-0.74,Scandinavia
11,2012,-0.72,Scandinavia
12,2013,-0.71,Scandinavia
13,2014,-0.77,Scandinavia
14,2015,-0.64,Scandinavia
15,2016,-0.52,Scandinavia
16,2017,-0.54,Scandinavia
17,2018,-0.54,Scandinavia
18,2019,-0.61,Scandinavia
19,2020,-0.6,Scandinavia
0,2001,-0.16499999999999998,Russian Arctic
1,2002,-0.185,Russian Arctic
2,2003,-0.16,Russian Arctic
3,2004,-0.165,Russian Arctic
4,2005,-0.20500000000000002,Russian Arctic
5,2006,-0.20500000000000002,Russian Arctic
6,2007,-0.195,Russian Arctic
7,2008,-0.2,Russian Arctic
8,2009,-0.22,Russian Arctic
9,2010,-0.20500000000000002,Russian Arctic
10,2011,-0.22999999999999998,Russian Arctic
11,2012,-0.20500000000000002,Russian Arctic
12,2013,-0.145,Russian Arctic
13,2014,-0.27,Russian Arctic
14,2015,-0.21000000000000002,Russian Arctic
15,2016,-0.2,Russian Arctic
16,2017,-0.305,Russian Arctic
17,2018,-0.31,Russian Arctic
18,2019,-0.25,Russian Arctic
19,2020,-0.235,Russian Arctic
0,2001,-0.47,"Asia, North"
1,2002,-0.51,"Asia, North"
2,2003,-0.54,"Asia, North"
3,2004,-0.54,"Asia, North"
4,2005,-0.48,"Asia, North"
5,2006,-0.54,"Asia, North"
6,2007,-0.6,"Asia, North"
7,2008,-0.59,"Asia, North"
8,2009,-0.62,"Asia, North"
9,2010,-0.61,"Asia, North"
10,2011,-0.7,"Asia, North"
11,2012,-0.66,"Asia, North"
12,2013,-0.64,"Asia, North"
13,2014,-0.6,"Asia, North"
14,2015,-0.66,"Asia, North"
15,2016,-0.73,"Asia, North"
16,2017,-0.72,"Asia, North"
17,2018,-0.68,"Asia, North"
18,2019,-0.64,"Asia, North"
19,2020,-0.73,"Asia, North"
