Region,Period,Glacier category - tw=tidewater (marine-terminating); ntw=non-tidewater (land-terminating); all=all glaciers,Mean elevation change rate (m yr-1),Mass change rate (Gt yr-1),Regional area observed at least once a year (%) (relevant only for yearly rates),Glacier area of RGI 6.0 (m²),Estimated time-varying RGI glacier area (m²),Longitude of region centroid,Latitude of region centroid
Global,2000-01-01_2001-01-01,all,-0.36,-214.96,0.33,7.06E+11,7.07E+11,NA,NA
Global,2000-01-01_2020-01-01,all,-0.46,-266.58,13.28,7.06E+11,6.85E+11,NA,NA
Global,2000-01-01_2020-01-01,ntw,-0.56,-195.9,14.38,4.24E+11,4.14E+11,NA,NA
Global,2000-01-01_2020-01-01,tw,-0.31,-70.71,11.62,2.82E+11,2.71E+11,NA,NA
Global,2001-01-01_2002-01-01,all,-0.36,-216.35,0.68,7.06E+11,7.05E+11,NA,NA
Global,2002-01-01_2003-01-01,all,-0.39,-231.69,0.68,7.06E+11,7.02E+11,NA,NA
Global,2003-01-01_2004-01-01,all,-0.4,-235.48,0.73,7.06E+11,7.00E+11,NA,NA
Global,2004-01-01_2005-01-01,all,-0.4,-235.51,0.72,7.06E+11,6.98E+11,NA,NA
Global,2005-01-01_2006-01-01,all,-0.41,-244.08,0.67,7.06E+11,6.96E+11,NA,NA
Global,2006-01-01_2007-01-01,all,-0.41,-243.61,0.66,7.06E+11,6.93E+11,NA,NA
Global,2007-01-01_2008-01-01,all,-0.43,-254.61,0.58,7.06E+11,6.91E+11,NA,NA
Global,2008-01-01_2009-01-01,all,-0.46,-268.4,0.46,7.06E+11,6.89E+11,NA,NA
Global,2009-01-01_2010-01-01,all,-0.47,-274.65,0.61,7.06E+11,6.86E+11,NA,NA
Global,2010-01-01_2011-01-01,all,-0.48,-280.46,0.57,7.06E+11,6.84E+11,NA,NA
Global,2011-01-01_2012-01-01,all,-0.49,-286.4,0.45,7.06E+11,6.82E+11,NA,NA
Global,2012-01-01_2013-01-01,all,-0.48,-278.73,0.71,7.06E+11,6.80E+11,NA,NA
Global,2013-01-01_2014-01-01,all,-0.51,-292.95,0.76,7.06E+11,6.77E+11,NA,NA
Global,2014-01-01_2015-01-01,all,-0.5,-285.15,0.8,7.06E+11,6.75E+11,NA,NA
Global,2015-01-01_2016-01-01,all,-0.49,-281.8,0.82,7.06E+11,6.73E+11,NA,NA
Global,2016-01-01_2017-01-01,all,-0.54,-308.42,0.84,7.06E+11,6.70E+11,NA,NA
Global,2017-01-01_2018-01-01,all,-0.5,-285.05,0.84,7.06E+11,6.68E+11,NA,NA
Global,2018-01-01_2019-01-01,all,-0.52,-294.77,0.69,7.06E+11,6.66E+11,NA,NA
Global,2019-01-01_2020-01-01,all,-0.56,-318.47,0.7,7.06E+11,6.64E+11,NA,NA
