latitude,longitude,year,tas
-89.5,-179.5,1979,-0.20828196
-89.5,-178.5,1979,-0.20810959
-89.5,-177.5,1979,-0.20792602
-89.5,-176.5,1979,-0.20773134
-89.5,-175.5,1979,-0.20752558
-89.5,-174.5,1979,-0.20730883
-89.5,-173.5,1979,-0.20708118
-89.5,-172.5,1979,-0.2068427
-89.5,-171.5,1979,-0.20659348
-89.5,-170.5,1979,-0.20633364
-89.5,-169.5,1979,-0.20606327
-89.5,-168.5,1979,-0.20578252
-89.5,-167.5,1979,-0.20549153
-89.5,-166.5,1979,-0.20519035
-89.5,-165.5,1979,-0.20487916
-89.5,-164.5,1979,-0.20455815
-89.5,-163.5,1979,-0.20422743
-89.5,-162.5,1979,-0.20388724
-89.5,-161.5,1979,-0.20353764
-89.5,-160.5,1979,-0.20317899
-89.5,-159.5,1979,-0.20281132
-89.5,-158.5,1979,-0.20243493
-89.5,-157.5,1979,-0.20205005
-89.5,-156.5,1979,-0.20165686
-89.5,-155.5,1979,-0.20125568
-89.5,-154.5,1979,-0.20084673
-89.5,-153.5,1979,-0.20043026
-89.5,-152.5,1979,-0.20000665
-89.5,-151.5,1979,-0.19957614
-89.5,-150.5,1979,-0.19913912
-89.5,-149.5,1979,-0.1986959
-89.5,-148.5,1979,-0.19824685
-89.5,-147.5,1979,-0.19779241
-89.5,-146.5,1979,-0.19733295
-89.5,-145.5,1979,-0.19686897
-89.5,-144.5,1979,-0.1964009
-89.5,-143.5,1979,-0.19592935
-89.5,-142.5,1979,-0.19545476
-89.5,-141.5,1979,-0.19497779
-89.5,-140.5,1979,-0.1944991
-89.5,-139.5,1979,-0.19401932
-89.5,-138.5,1979,-0.19353922
-89.5,-137.5,1979,-0.1930596
-89.5,-136.5,1979,-0.1925813
-89.5,-135.5,1979,-0.19210528
-89.5,-134.5,1979,-0.19163255
-89.5,-133.5,1979,-0.19116423
-89.5,-132.5,1979,-0.19070151
-89.5,-131.5,1979,-0.19024564
-89.5,-130.5,1979,-0.18979812
-89.5,-129.5,1979,-0.18936044
-89.5,-128.5,1979,-0.18893424
-89.5,-127.5,1979,-0.18852137
-89.5,-126.5,1979,-0.18812375
-89.5,-125.5,1979,-0.18774348
-89.5,-124.5,1979,-0.18738283
-89.5,-123.5,1979,-0.1870442
-89.5,-122.5,1979,-0.18673007
-89.5,-121.5,1979,-0.186443
-89.5,-120.5,1979,-0.1861823
-89.5,-119.5,1979,-0.18592663
-89.5,-118.5,1979,-0.18567775
-89.5,-117.5,1979,-0.18546608
-89.5,-116.5,1979,-0.18529284
-89.5,-115.5,1979,-0.18515468
-89.5,-114.5,1979,-0.18504822
-89.5,-113.5,1979,-0.18497047
-89.5,-112.5,1979,-0.18491846
-89.5,-111.5,1979,-0.18488948
-89.5,-110.5,1979,-0.184881
-89.5,-109.5,1979,-0.18489076
-89.5,-108.5,1979,-0.18491659
-89.5,-107.5,1979,-0.18495652
-89.5,-106.5,1979,-0.18500881
-89.5,-105.5,1979,-0.18507178
-89.5,-104.5,1979,-0.185144
-89.5,-103.5,1979,-0.18522413
-89.5,-102.5,1979,-0.18531087
-89.5,-101.5,1979,-0.18540312
-89.5,-100.5,1979,-0.18549983
-89.5,-99.5,1979,-0.18560007
-89.5,-98.5,1979,-0.18570296
-89.5,-97.5,1979,-0.18580769
-89.5,-96.5,1979,-0.1859136
-89.5,-95.5,1979,-0.18601991
-89.5,-94.5,1979,-0.18612608
-89.5,-93.5,1979,-0.18623154
-89.5,-92.5,1979,-0.18633568
-89.5,-91.5,1979,-0.18643811
-89.5,-90.5,1979,-0.18653832
-89.5,-89.5,1979,-0.18663596
-89.5,-88.5,1979,-0.18673056
-89.5,-87.5,1979,-0.18682177
-89.5,-86.5,1979,-0.18690933
-89.5,-85.5,1979,-0.18699287
-89.5,-84.5,1979,-0.18707213
-89.5,-83.5,1979,-0.18714683
-89.5,-82.5,1979,-0.1872167
-89.5,-81.5,1979,-0.18728158
-89.5,-80.5,1979,-0.18734112
-89.5,-79.5,1979,-0.18739524
-89.5,-78.5,1979,-0.1874437
-89.5,-77.5,1979,-0.18748632
-89.5,-76.5,1979,-0.18752296
-89.5,-75.5,1979,-0.18755342
-89.5,-74.5,1979,-0.18757762
-89.5,-73.5,1979,-0.18759541
-89.5,-72.5,1979,-0.18760663
-89.5,-71.5,1979,-0.18761119
-89.5,-70.5,1979,-0.18760902
-89.5,-69.5,1979,-0.18759997
-89.5,-68.5,1979,-0.18758401
-89.5,-67.5,1979,-0.18756104
-89.5,-66.5,1979,-0.18753096
-89.5,-65.5,1979,-0.18749377
-89.5,-64.5,1979,-0.18744937
-89.5,-63.5,1979,-0.18739769
-89.5,-62.5,1979,-0.18733878
-89.5,-61.5,1979,-0.18727256
-89.5,-60.5,1979,-0.18719901
-89.5,-59.5,1979,-0.18711807
-89.5,-58.5,1979,-0.18702981
-89.5,-57.5,1979,-0.1869342
-89.5,-56.5,1979,-0.18683124
-89.5,-55.5,1979,-0.18672094
-89.5,-54.5,1979,-0.1866033
-89.5,-53.5,1979,-0.1864784
-89.5,-52.5,1979,-0.18634626
-89.5,-51.5,1979,-0.18620697
-89.5,-50.5,1979,-0.1860605
-89.5,-49.5,1979,-0.185907
-89.5,-48.5,1979,-0.18574649
-89.5,-47.5,1979,-0.18557912
-89.5,-46.5,1979,-0.1854049
-89.5,-45.5,1979,-0.18522401
-89.5,-44.5,1979,-0.18503653
-89.5,-43.5,1979,-0.18484262
-89.5,-42.5,1979,-0.18464239
-89.5,-41.5,1979,-0.184436
-89.5,-40.5,1979,-0.18422365
-89.5,-39.5,1979,-0.18400547
-89.5,-38.5,1979,-0.18378173
-89.5,-37.5,1979,-0.18355264
-89.5,-36.5,1979,-0.18331836
-89.5,-35.5,1979,-0.18307918
-89.5,-34.5,1979,-0.18283542
-89.5,-33.5,1979,-0.18258733
-89.5,-32.5,1979,-0.18233523
-89.5,-31.5,1979,-0.1820795
-89.5,-30.5,1979,-0.1818205
-89.5,-29.5,1979,-0.1815586
-89.5,-28.5,1979,-0.18129429
-89.5,-27.5,1979,-0.181028
-89.5,-26.5,1979,-0.18076026
-89.5,-25.5,1979,-0.18049164
-89.5,-24.5,1979,-0.18022273
-89.5,-23.5,1979,-0.17995417
-89.5,-22.5,1979,-0.17968673
-89.5,-21.5,1979,-0.17942108
-89.5,-20.5,1979,-0.17915814
-89.5,-19.5,1979,-0.17889881
-89.5,-18.5,1979,-0.17864406
-89.5,-17.5,1979,-0.178395
-89.5,-16.5,1979,-0.17815287
-89.5,-15.5,1979,-0.17791887
-89.5,-14.5,1979,-0.17769456
-89.5,-13.5,1979,-0.17748135
-89.5,-12.5,1979,-0.1772811
-89.5,-11.5,1979,-0.17709555
-89.5,-10.5,1979,-0.17692684
-89.5,-9.5,1979,-0.17677714
-89.5,-8.5,1979,-0.17664891
-89.5,-7.5,1979,-0.17654483
-89.5,-6.5,1979,-0.17646778
-89.5,-5.5,1979,-0.17642087
-89.5,-4.5,1979,-0.17640744
-89.5,-3.5,1979,-0.17643107
-89.5,-2.5,1979,-0.1764955
-89.5,-1.5,1979,-0.17660467
-89.5,-0.5,1979,-0.17675734
-89.5,0.5,1979,-0.17692016
-89.5,1.5,1979,-0.17709115
-89.5,2.5,1979,-0.17729378
-89.5,3.5,1979,-0.17752878
-89.5,4.5,1979,-0.17779337
-89.5,5.5,1979,-0.1780848
-89.5,6.5,1979,-0.17840055
-89.5,7.5,1979,-0.17873809
-89.5,8.5,1979,-0.1790952
-89.5,9.5,1979,-0.17946975
-89.5,10.5,1979,-0.1798598
-89.5,11.5,1979,-0.18026356
-89.5,12.5,1979,-0.18067935
-89.5,13.5,1979,-0.18110566
-89.5,14.5,1979,-0.18154109
-89.5,15.5,1979,-0.18198432
-89.5,16.5,1979,-0.1824342
-89.5,17.5,1979,-0.18288967
-89.5,18.5,1979,-0.18334965
-89.5,19.5,1979,-0.18381324
-89.5,20.5,1979,-0.18427962
-89.5,21.5,1979,-0.18474798
-89.5,22.5,1979,-0.18521756
-89.5,23.5,1979,-0.1856877
-89.5,24.5,1979,-0.18615778
-89.5,25.5,1979,-0.18662721
-89.5,26.5,1979,-0.18709537
-89.5,27.5,1979,-0.18756188
-89.5,28.5,1979,-0.18802613
-89.5,29.5,1979,-0.18848775
-89.5,30.5,1979,-0.18894632
-89.5,31.5,1979,-0.18940137
-89.5,32.5,1979,-0.1898526
-89.5,33.5,1979,-0.19029963
-89.5,34.5,1979,-0.19074212
-89.5,35.5,1979,-0.19117978
-89.5,36.5,1979,-0.1916123
-89.5,37.5,1979,-0.19203942
-89.5,38.5,1979,-0.19246078
-89.5,39.5,1979,-0.19287626
-89.5,40.5,1979,-0.19328554
-89.5,41.5,1979,-0.1936884
-89.5,42.5,1979,-0.19408467
-89.5,43.5,1979,-0.19447407
-89.5,44.5,1979,-0.19485651
-89.5,45.5,1979,-0.19523174
-89.5,46.5,1979,-0.19559954
-89.5,47.5,1979,-0.19595982
-89.5,48.5,1979,-0.19631243
-89.5,49.5,1979,-0.19665715
-89.5,50.5,1979,-0.19699392
-89.5,51.5,1979,-0.19732253
-89.5,52.5,1979,-0.1976429
-89.5,53.5,1979,-0.19795491
-89.5,54.5,1979,-0.19825846
-89.5,55.5,1979,-0.1985534
-89.5,56.5,1979,-0.19883968
-89.5,57.5,1979,-0.19911721
-89.5,58.5,1979,-0.19938587
-89.5,59.5,1979,-0.1996456
-89.5,60.5,1979,-0.19989635
-89.5,61.5,1979,-0.20013803
-89.5,62.5,1979,-0.20037061
-89.5,63.5,1979,-0.20059402
-89.5,64.5,1979,-0.20080821
-89.5,65.5,1979,-0.20101316
-89.5,66.5,1979,-0.20120884
-89.5,67.5,1979,-0.20139523
-89.5,68.5,1979,-0.20157234
-89.5,69.5,1979,-0.2017401
-89.5,70.5,1979,-0.20189853
-89.5,71.5,1979,-0.20204765
-89.5,72.5,1979,-0.20218748
-89.5,73.5,1979,-0.202318
-89.5,74.5,1979,-0.2024393
-89.5,75.5,1979,-0.20255138
-89.5,76.5,1979,-0.20265429
-89.5,77.5,1979,-0.2027481
-89.5,78.5,1979,-0.20283289
-89.5,79.5,1979,-0.20290866
-89.5,80.5,1979,-0.20297562
-89.5,81.5,1979,-0.20303376
-89.5,82.5,1979,-0.20308322
-89.5,83.5,1979,-0.20312415
-89.5,84.5,1979,-0.20315668
-89.5,85.5,1979,-0.20318091
-89.5,86.5,1979,-0.20319705
-89.5,87.5,1979,-0.2032053
-89.5,88.5,1979,-0.20320578
-89.5,89.5,1979,-0.20319882
-89.5,90.5,1979,-0.20318457
-89.5,91.5,1979,-0.20316336
-89.5,92.5,1979,-0.20313539
-89.5,93.5,1979,-0.20310101
-89.5,94.5,1979,-0.2030606
-89.5,95.5,1979,-0.20301452
-89.5,96.5,1979,-0.2029631
-89.5,97.5,1979,-0.20290688
-89.5,98.5,1979,-0.20284632
-89.5,99.5,1979,-0.20278187
-89.5,100.5,1979,-0.20271422
-89.5,101.5,1979,-0.20264399
-89.5,102.5,1979,-0.20257181
-89.5,103.5,1979,-0.2024985
-89.5,104.5,1979,-0.20242488
-89.5,105.5,1979,-0.20235182
-89.5,106.5,1979,-0.20228042
-89.5,107.5,1979,-0.2022117
-89.5,108.5,1979,-0.20214695
-89.5,109.5,1979,-0.20208743
-89.5,110.5,1979,-0.20203464
-89.5,111.5,1979,-0.20199011
-89.5,112.5,1979,-0.2019556
-89.5,113.5,1979,-0.20193298
-89.5,114.5,1979,-0.20192425
-89.5,115.5,1979,-0.20193166
-89.5,116.5,1979,-0.2019575
-89.5,117.5,1979,-0.20200416
-89.5,118.5,1979,-0.20207423
-89.5,119.5,1979,-0.20216683
-89.5,120.5,1979,-0.20225972
-89.5,121.5,1979,-0.20235255
-89.5,122.5,1979,-0.20246646
-89.5,123.5,1979,-0.20260218
-89.5,124.5,1979,-0.2027572
-89.5,125.5,1979,-0.20292915
-89.5,126.5,1979,-0.20311578
-89.5,127.5,1979,-0.20331497
-89.5,128.5,1979,-0.20352468
-89.5,129.5,1979,-0.20374313
-89.5,130.5,1979,-0.20396855
-89.5,131.5,1979,-0.20419946
-89.5,132.5,1979,-0.2044344
-89.5,133.5,1979,-0.20467196
-89.5,134.5,1979,-0.20491108
-89.5,135.5,1979,-0.20515059
-89.5,136.5,1979,-0.20538944
-89.5,137.5,1979,-0.20562677
-89.5,138.5,1979,-0.20586175
-89.5,139.5,1979,-0.20609356
-89.5,140.5,1979,-0.20632146
-89.5,141.5,1979,-0.20654486
-89.5,142.5,1979,-0.20676313
-89.5,143.5,1979,-0.20697571
-89.5,144.5,1979,-0.20718214
-89.5,145.5,1979,-0.2073819
-89.5,146.5,1979,-0.2075746
-89.5,147.5,1979,-0.20775981
-89.5,148.5,1979,-0.20793721
-89.5,149.5,1979,-0.20810643
-89.5,150.5,1979,-0.20826712
-89.5,151.5,1979,-0.20841905
-89.5,152.5,1979,-0.20856193
-89.5,153.5,1979,-0.20869552
-89.5,154.5,1979,-0.2088196
-89.5,155.5,1979,-0.20893395
-89.5,156.5,1979,-0.20903838
-89.5,157.5,1979,-0.20913273
-89.5,158.5,1979,-0.20921679
-89.5,159.5,1979,-0.20929043
-89.5,160.5,1979,-0.20935357
-89.5,161.5,1979,-0.20940599
-89.5,162.5,1979,-0.20944767
-89.5,163.5,1979,-0.20947841
-89.5,164.5,1979,-0.20949824
-89.5,165.5,1979,-0.20950696
-89.5,166.5,1979,-0.20950456
-89.5,167.5,1979,-0.20949098
-89.5,168.5,1979,-0.20946614
-89.5,169.5,1979,-0.20943001
-89.5,170.5,1979,-0.20938252
-89.5,171.5,1979,-0.20932369
-89.5,172.5,1979,-0.20925348
-89.5,173.5,1979,-0.20917186
-89.5,174.5,1979,-0.20907888
-89.5,175.5,1979,-0.20897445
-89.5,176.5,1979,-0.20885867
-89.5,177.5,1979,-0.20873147
-89.5,178.5,1979,-0.20859294
-89.5,179.5,1979,-0.2084431
-88.5,-179.5,1979,-0.28829846
-88.5,-178.5,1979,-0.28780827
-88.5,-177.5,1979,-0.2872806
-88.5,-176.5,1979,-0.28671566
-88.5,-175.5,1979,-0.2861136
-88.5,-174.5,1979,-0.28547958
-88.5,-173.5,1979,-0.2848311
-88.5,-172.5,1979,-0.28416982
-88.5,-171.5,1979,-0.28349593
-88.5,-170.5,1979,-0.28280964
-88.5,-169.5,1979,-0.2821112
-88.5,-168.5,1979,-0.28140074
-88.5,-167.5,1979,-0.28067848
-88.5,-166.5,1979,-0.27994472
-88.5,-165.5,1979,-0.27919963
-88.5,-164.5,1979,-0.27844334
-88.5,-163.5,1979,-0.27767608
-88.5,-162.5,1979,-0.276898
-88.5,-161.5,1979,-0.27610922
-88.5,-160.5,1979,-0.2753099
-88.5,-159.5,1979,-0.2745001
-88.5,-158.5,1979,-0.27367997
-88.5,-157.5,1979,-0.27284953
-88.5,-156.5,1979,-0.27200887
-88.5,-155.5,1979,-0.271158
-88.5,-154.5,1979,-0.27029693
-88.5,-153.5,1979,-0.26942578
-88.5,-152.5,1979,-0.26854447
-88.5,-151.5,1979,-0.26765308
-88.5,-150.5,1979,-0.26675168
-88.5,-149.5,1979,-0.2658403
-88.5,-148.5,1979,-0.2649191
-88.5,-147.5,1979,-0.26398823
-88.5,-146.5,1979,-0.26304796
-88.5,-145.5,1979,-0.26209864
-88.5,-144.5,1979,-0.26114067
-88.5,-143.5,1979,-0.26017457
-88.5,-142.5,1979,-0.2592011
-88.5,-141.5,1979,-0.2582211
-88.5,-140.5,1979,-0.25723565
