latitude,longitude,year,tas
-89.5,-179.5,1990,0.283998
-89.5,-178.5,1990,0.28401846
-89.5,-177.5,1990,0.28405032
-89.5,-176.5,1990,0.28409365
-89.5,-175.5,1990,0.28414845
-89.5,-174.5,1990,0.28421476
-89.5,-173.5,1990,0.28429258
-89.5,-172.5,1990,0.28438187
-89.5,-171.5,1990,0.28448272
-89.5,-170.5,1990,0.28459504
-89.5,-169.5,1990,0.28471887
-89.5,-168.5,1990,0.28485408
-89.5,-167.5,1990,0.2850008
-89.5,-166.5,1990,0.28515884
-89.5,-165.5,1990,0.2853283
-89.5,-164.5,1990,0.28550908
-89.5,-163.5,1990,0.2857011
-89.5,-162.5,1990,0.28590432
-89.5,-161.5,1990,0.2861187
-89.5,-160.5,1990,0.2863441
-89.5,-159.5,1990,0.2865805
-89.5,-158.5,1990,0.28682786
-89.5,-157.5,1990,0.28708595
-89.5,-156.5,1990,0.28735474
-89.5,-155.5,1990,0.28763413
-89.5,-154.5,1990,0.287924
-89.5,-153.5,1990,0.28822416
-89.5,-152.5,1990,0.28853452
-89.5,-151.5,1990,0.2888549
-89.5,-150.5,1990,0.28918514
-89.5,-149.5,1990,0.2895251
-89.5,-148.5,1990,0.28987452
-89.5,-147.5,1990,0.29023325
-89.5,-146.5,1990,0.29060107
-89.5,-145.5,1990,0.29097772
-89.5,-144.5,1990,0.291363
-89.5,-143.5,1990,0.29175657
-89.5,-142.5,1990,0.29215816
-89.5,-141.5,1990,0.29256752
-89.5,-140.5,1990,0.29298425
-89.5,-139.5,1990,0.293408
-89.5,-138.5,1990,0.29383844
-89.5,-137.5,1990,0.2942751
-89.5,-136.5,1990,0.29471755
-89.5,-135.5,1990,0.29516533
-89.5,-134.5,1990,0.2956179
-89.5,-133.5,1990,0.2960747
-89.5,-132.5,1990,0.29653507
-89.5,-131.5,1990,0.2969985
-89.5,-130.5,1990,0.29746413
-89.5,-129.5,1990,0.29793128
-89.5,-128.5,1990,0.2983991
-89.5,-127.5,1990,0.29886663
-89.5,-126.5,1990,0.29933304
-89.5,-125.5,1990,0.29979715
-89.5,-124.5,1990,0.30025795
-89.5,-123.5,1990,0.30071422
